district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
East Mamprusi Municipal,North East,4.623235973612845,1.981588914512587,hotspot,2.0272351243692763,hotspot,1,0.001
La Dade-Kotopon Municipal,Greater Accra,-2.716660743266794,-1.2439260795422422,coldspot,-1.2050115538240413,coldspot,3,0.001
Bawku West,Upper East,3.51935453023128,2.3765612137682988,hotspot,1.711916514668914,hotspot,1,0.001
Aowin Municipal,Western North,-0.2054360120528212,-0.1461883076564686,not_significant,-0.139576415981605,not_significant,3,0.416
Dormaa East,Bono,-1.0702689733881907,-0.7306092853046805,coldspot,-0.7391082886862674,coldspot,3,0.034
Suaman,Western North,0.3019542934641093,-0.15874939054969686,not_significant,-0.2843454732001643,not_significant,4,0.407
Berekum East Municipal,Bono,-1.8394409836447525,-0.5276602586880823,not_significant,-0.6356569917199681,not_significant,3,0.075
Bia East,Western North,-0.2755807395532177,-0.5387953072649598,not_significant,-0.5355784377341011,not_significant,3,0.131
Jaman South,Bono,-1.027347222873643,-0.7339409819263367,not_significant,-0.6423606615810923,not_significant,3,0.078
Bia West,Western North,-1.5255382098256618,-0.1793081742122179,not_significant,-0.23830996329535972,not_significant,3,0.462
Sunyani West Municipal,Bono,-0.9520748128458342,-0.5804711993707823,coldspot,-0.7042458737373606,coldspot,3,0.031
Asunafo North Municipal,Ahafo,-0.8337867606712579,-0.31346757327978125,not_significant,-0.40964304559945847,not_significant,3,0.221
Bodi,Western North,-0.166603098136038,-0.13088787912464633,not_significant,-0.270957792768383,not_significant,3,0.419
Juaboso,Western North,-0.372653330154027,-0.26941211654552877,not_significant,-0.2529010506719971,not_significant,3,0.258
Nkoranza North,Bono East,-0.3991888498639965,-0.29181212601846285,not_significant,-0.3367137632889245,not_significant,3,0.23
Kintampo South,Bono East,0.0691556557356978,0.15809813673597528,not_significant,-0.3922480935096769,not_significant,1,0.337
Shama,Western,-0.3692981816726385,-0.3146701467938496,not_significant,-0.5717154876210829,not_significant,3,0.281
Tano North Municipal,Ahafo,-0.934019662002113,-0.436750068083531,not_significant,-0.4424831153502049,not_significant,3,0.109
Wassa East,Western,-0.2053920451832667,-0.15385621877991323,not_significant,-0.06694210326196792,not_significant,3,0.368
